name,price,url
Диван угловой Спейс-2 Velvet Olive,99990,https://www.divan.ru/product/divan-uglovoj-spejs-2-velvet-olive
Диван Дара Velvet Terra,39990,https://www.divan.ru/product/divan-dara-velvet-terra
Диван Боско-3 Land Milk,49990,https://www.divan.ru/product/divan-bosko-3-land-milk
Диван угловой Вайвел Barhat Caramel,89990,https://www.divan.ru/product/divan-uglovoj-vajvel-barhat-caramel
Диван угловой Майнап Velvet Latte,49990,https://www.divan.ru/product/divan-uglovoj-majnap-velvet-latte
Диван Бруквиль Velvet Smoke,49990,https://www.divan.ru/product/divan-brukvil-velvet-smoke
Диван Риббл-7 Bucle Silver,51990,https://www.divan.ru/product/divan-ribbl-7-bucle-silver
Модульный диван Этен 4 Vertical Milk,203920,https://www.divan.ru/product/modulnyj-divan-eten-4-vertical-milk
Диван Льери Barhat Mint,79990,https://www.divan.ru/product/divan-leri-barhat-mint
Диван Лесли Velvet Yellow,46990,https://www.divan.ru/product/divan-lesli-velvet-yellow
Диван Дара Velvet Latte,39990,https://www.divan.ru/product/divan-dara-velvet-latte
Диван угловой Эдвин Velvet Stone,72990,https://www.divan.ru/product/divan-uglovoj-edvin-velvet-stone
Диван угловой Лаберт Barhat Grafit,99990,https://www.divan.ru/product/divan-uglovoj-labert-barhat-grafit
Диван угловой Спейс-2 Soft Light,99990,https://www.divan.ru/product/divan-uglovoj-spejs-2-soft-light
Диван угловой Льери Barhat Emerald,94990,https://www.divan.ru/product/divan-uglovoj-leri-barhat-emerald
Диван Пайпел Bucle White,49990,https://www.divan.ru/product/divan-pajpel-bucle-white
Диван Боско-2 Land Blue,38990,https://www.divan.ru/product/divan-bosko-2-land-blue
Диван Риббл-10 Bucle Silver,83990,https://www.divan.ru/product/divan-ribbl-10-bucle-silver
Диван угловой Вайвел Barhat Night,89990,https://www.divan.ru/product/divan-uglovoj-vajvel-barhat-night
Диван Лесли Velvet Red,46990,https://www.divan.ru/product/divan-lesli-velvet-red
Модульный диван Brera-3 Velour Cinnamon,114970,https://www.divan.ru/product/modulnyj-divan-brera-3-velour-cinnamon
Диван угловой Сайле Barhat Silver,149990,https://www.divan.ru/product/divan-uglovoj-sajle-barhat-silver
Диван Кинси-2 Land Navy Blue,48990,https://www.divan.ru/product/divan-kinsi-2-land-navy-blue
Диван Пайпел Bucle Grafit,49990,https://www.divan.ru/product/divan-pajpel-bucle-grafit
Диван Дара Velvet Yellow,39990,https://www.divan.ru/product/divan-dara-velvet-yellow
Диван Байма Velvet Olive,69990,https://www.divan.ru/product/divan-bajma-velvet-olive
